inference_status,q_only_error_count,design_panel,outcome,identified_seeds,estimate,ci_low,ci_high,seed_clusters,bootstrap_draws,count
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,q_only_target_probability,20,0.9957251953744258,0.9918778186647551,0.998845322217652,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,q_only_seen_accuracy,20,0.9982883771929826,0.9966217105263157,0.9997258771929826,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,q_only_seen_target_probability,20,0.9974768247883707,0.99534801680671,0.9992561441370793,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,q_only_unseen_accuracy,20,0.9930832941729324,0.9843867481203008,1.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,q_only_unseen_target_probability,20,0.990814830540194,0.9815135681829108,0.9982550433658162,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,seen_minus_unseen_probability,20,0.0066619942481766,0.001009540759944428,0.014317209905915614,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,common_iid_target_accuracy,20,0.9998250000000001,0.9996,1.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,active_codeword_coverage,20,0.790625,0.76875,0.8109375,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,behavior_P,20,0.499951171875,0.4994873046875,0.50035400390625,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,behavior_Q,20,0.501513671875,0.500146484375,0.5031982421875,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,behavior_Y,20,0.998486328125,0.9967892456054688,0.9998294067382812,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,causal_P,20,0.500018310546875,0.499578857421875,0.500482177734375,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,causal_Q,20,0.5014923095703125,0.500262451171875,0.5031036376953125,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,causal_Y,20,0.9985180664062501,0.9969384460449219,0.9997926025390625,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,pure_Y,20,1.0,1.0,1.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,pure_Q,20,0.0,0.0,0.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,pure_P,20,0.0,0.0,0.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,taxonomy:pure Y,20,1.0,1.0,1.0,20,4000,20
adaptive_exploratory_posthoc_paired_support_intervention,250,primary_registered,stable_gate,20,0.0,0.0,0.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,250,primary_registered,q_only_diagnostic_accuracy,20,0.9769450000000001,0.932999875,0.999665,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,250,primary_registered,q_only_factorial_accuracy,20,0.97822265625,0.936767578125,0.999658203125,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,250,primary_registered,q_only_target_probability,20,0.9770144160700152,0.9344881734718198,0.9991452173832212,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,250,primary_registered,q_only_seen_accuracy,20,0.9783112619207628,0.9371707870553716,0.9996535028241806,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,250,primary_registered,q_only_seen_target_probability,20,0.9771539782742013,0.9346179464317736,0.9991376475704563,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,250,primary_registered,q_only_unseen_accuracy,15,0.9645833333333333,0.8958333333333334,1.0,15,4000,
adaptive_exploratory_posthoc_paired_support_intervention,250,primary_registered,q_only_unseen_target_probability,15,0.9609639200572497,0.8875874508604558,0.9996336341208466,15,4000,
adaptive_exploratory_posthoc_paired_support_intervention,250,primary_registered,seen_minus_unseen_probability,15,0.009548380514943349,-0.00023077881393539703,0.025082968985549552,15,4000,
adaptive_exploratory_posthoc_paired_support_intervention,250,primary_registered,common_iid_target_accuracy,20,0.9974500000000001,0.9932621874999998,0.9997125,20,4000,
