seed,washout_offset,hamming_dispersion,signed_recency_margin,probability_dispersion,candidate_control_vector_dispersion,P_last_minus_first_margin,Q_last_minus_first_margin,Y_last_minus_first_margin
619,4,0.4,1.0,0.3996608525224527,0.2666666666666667,1.0,1.0,1.0
619,5,0.4,1.0,0.399617782445752,0.2666666666666667,1.0,1.0,1.0
619,7,0.4,1.0,0.39952091089939085,0.2666666666666667,1.0,1.0,1.0
619,9,0.4,1.0,0.39940969258584924,0.2666666666666667,1.0,1.0,1.0
619,13,0.4,1.0,0.3991391760482116,0.2666666666666667,1.0,1.0,1.0
619,17,0.4,1.0,0.39883944094385004,0.2666666666666667,1.0,1.0,1.0
619,24,0.4,1.0,0.39833241075722275,0.2666666666666667,1.0,1.0,1.0
619,33,0.4,1.0,0.3977966282322582,0.2666666666666667,1.0,1.0,1.0
619,45,0.4,1.0,0.3972996277213099,0.2666666666666667,1.0,1.0,1.0
619,62,0.4,1.0,0.39670958788910055,0.2666666666666667,1.0,1.0,1.0
619,85,0.4,1.0,0.39525637657189777,0.2666666666666667,1.0,1.0,1.0
619,117,0.4,1.0,0.3931361494998581,0.2666666666666667,1.0,1.0,1.0
619,128,0.396875,0.9895833333333334,0.39243837240936136,0.2663194444444445,0.984375,1.0,0.984375
619,161,0.396875,0.9895833333333334,0.39054325038678145,0.2663194444444445,0.984375,1.0,0.984375
619,222,0.39375,0.9791666666666666,0.3878312374700426,0.2659722222222223,0.96875,1.0,0.96875
619,256,0.390625,0.96875,0.3866656327974869,0.26562500000000006,0.953125,1.0,0.953125
631,0,0.4,1.0,0.39981647259325176,0.2666666666666667,1.0,1.0,1.0
631,1,0.4,1.0,0.39973827970714365,0.2666666666666667,1.0,1.0,1.0
631,2,0.4,1.0,0.3997016676085651,0.2666666666666667,1.0,1.0,1.0
631,3,0.4,1.0,0.39967685253293894,0.2666666666666667,1.0,1.0,1.0
631,4,0.4,1.0,0.39965037788717683,0.2666666666666667,1.0,1.0,1.0
631,5,0.4,1.0,0.39962081989082365,0.2666666666666667,1.0,1.0,1.0
631,7,0.4,1.0,0.39955724437614415,0.2666666666666667,1.0,1.0,1.0
631,9,0.4,1.0,0.39948695191134637,0.2666666666666667,1.0,1.0,1.0
631,13,0.4,1.0,0.39932691968133055,0.2666666666666667,1.0,1.0,1.0
631,17,0.4,1.0,0.3991619902482121,0.2666666666666667,1.0,1.0,1.0
631,24,0.4,1.0,0.3988915753699384,0.2666666666666667,1.0,1.0,1.0
631,33,0.4,1.0,0.39863553359069825,0.2666666666666667,1.0,1.0,1.0
631,45,0.4,1.0,0.39844350214811347,0.2666666666666667,1.0,1.0,1.0
631,62,0.4,1.0,0.39831105475121376,0.2666666666666667,1.0,1.0,1.0
631,85,0.4,1.0,0.398196401212816,0.2666666666666667,1.0,1.0,1.0
631,117,0.4,1.0,0.39804730847037467,0.2666666666666667,1.0,1.0,1.0
631,128,0.4,1.0,0.39799535651415946,0.2666666666666667,1.0,1.0,1.0
631,161,0.4,1.0,0.3978328745207848,0.2666666666666667,1.0,1.0,1.0
631,222,0.4,1.0,0.39753155666484674,0.2666666666666667,1.0,1.0,1.0
631,256,0.4,1.0,0.39736297624542566,0.2666666666666667,1.0,1.0,1.0
641,0,0.4,1.0,0.3998798197983401,0.2666666666666667,1.0,1.0,1.0
641,1,0.4,1.0,0.39977405017723056,0.2666666666666667,1.0,1.0,1.0
641,2,0.4,1.0,0.39971301485671007,0.2666666666666667,1.0,1.0,1.0
641,3,0.4,1.0,0.39965984665008475,0.2666666666666667,1.0,1.0,1.0
641,4,0.4,1.0,0.3996044683098589,0.2666666666666667,1.0,1.0,1.0
641,5,0.4,1.0,0.39954402462847133,0.2666666666666667,1.0,1.0,1.0
641,7,0.4,1.0,0.3994162336920483,0.2666666666666667,1.0,1.0,1.0
641,9,0.4,1.0,0.3992640848668788,0.2666666666666667,1.0,1.0,1.0
641,13,0.4,1.0,0.3989241171704649,0.2666666666666667,1.0,1.0,1.0
641,17,0.4,1.0,0.3985746671137264,0.2666666666666667,1.0,1.0,1.0
641,24,0.4,1.0,0.39797431586449766,0.2666666666666667,1.0,1.0,1.0
641,33,0.4,1.0,0.3972689909389729,0.2666666666666667,1.0,1.0,1.0
641,45,0.4,1.0,0.39648108936513193,0.2666666666666667,1.0,1.0,1.0
641,62,0.4,1.0,0.3957611343839695,0.2666666666666667,1.0,1.0,1.0
641,85,0.4,1.0,0.3951407488614287,0.2666666666666667,1.0,1.0,1.0
641,117,0.4,1.0,0.39438611135923346,0.2666666666666667,1.0,1.0,1.0
641,128,0.4,1.0,0.3941500301364309,0.2666666666666667,1.0,1.0,1.0
641,161,0.4,1.0,0.39343860005612835,0.2666666666666667,1.0,1.0,1.0
641,222,0.4,1.0,0.39214714822329355,0.2666666666666667,1.0,1.0,1.0
641,256,0.4,1.0,0.3914571225292473,0.2666666666666667,1.0,1.0,1.0
643,0,0.4,1.0,0.3998734304573344,0.2666666666666667,1.0,1.0,1.0
643,1,0.4,1.0,0.3997973842079509,0.2666666666666667,1.0,1.0,1.0
643,2,0.4,1.0,0.39975909185567227,0.2666666666666667,1.0,1.0,1.0
643,3,0.4,1.0,0.39973737375460927,0.2666666666666667,1.0,1.0,1.0
643,4,0.4,1.0,0.39971971550350277,0.2666666666666667,1.0,1.0,1.0
643,5,0.4,1.0,0.3997039390913522,0.2666666666666667,1.0,1.0,1.0
643,7,0.4,1.0,0.3996723722541884,0.2666666666666667,1.0,1.0,1.0
643,9,0.4,1.0,0.39963981629586526,0.2666666666666667,1.0,1.0,1.0
643,13,0.4,1.0,0.39957690248288913,0.2666666666666667,1.0,1.0,1.0
643,17,0.4,1.0,0.39951984377668437,0.2666666666666667,1.0,1.0,1.0
643,24,0.4,1.0,0.3994314320752737,0.2666666666666667,1.0,1.0,1.0
643,33,0.4,1.0,0.39933869408103284,0.2666666666666667,1.0,1.0,1.0
643,45,0.4,1.0,0.3992541013039571,0.2666666666666667,1.0,1.0,1.0
643,62,0.4,1.0,0.399178003047505,0.2666666666666667,1.0,1.0,1.0
643,85,0.4,1.0,0.3990878765728967,0.2666666666666667,1.0,1.0,1.0
643,117,0.4,1.0,0.3989564849883017,0.2666666666666667,1.0,1.0,1.0
643,128,0.4,1.0,0.39890676574739353,0.2666666666666667,1.0,1.0,1.0
643,161,0.4,1.0,0.39873265392653745,0.2666666666666667,1.0,1.0,1.0
