arm,q,k,beta,rho_y_estimate,rho_y_ci_low,rho_y_ci_high,rho_y_n_seeds,rho_y_n_cells,intended_probability_estimate,intended_probability_ci_low,intended_probability_ci_high,intended_probability_n_seeds,intended_probability_n_cells,iid_accuracy_estimate,iid_accuracy_ci_low,iid_accuracy_ci_high,iid_accuracy_n_seeds,iid_accuracy_n_cells,final_policy_entropy_estimate,final_policy_entropy_ci_low,final_policy_entropy_ci_high,final_policy_entropy_n_seeds,final_policy_entropy_n_cells,intended_probability_auc_estimate,intended_probability_auc_ci_low,intended_probability_auc_ci_high,intended_probability_auc_n_seeds,intended_probability_auc_n_cells,acquisition_observed_estimate,acquisition_observed_ci_low,acquisition_observed_ci_high,acquisition_observed_n_seeds,acquisition_observed_n_cells,proxy_flip_rate_estimate,proxy_flip_rate_ci_low,proxy_flip_rate_ci_high,proxy_flip_rate_n_seeds,proxy_flip_rate_n_cells,exact_flip_rate_estimate,exact_flip_rate_ci_low,exact_flip_rate_ci_high,exact_flip_rate_n_seeds,exact_flip_rate_n_cells,reliably_intended_seeds,reliably_intended_cell
actor_critic_full,0.75,4,0.003,0.037660000000000006,0.0,0.08115,10,10,0.03765216316085052,1.0865904135205654e-06,0.0813524530791466,10,10,0.759925,0.75,0.7716,10,10,3.408371191824244e-05,9.253938112223638e-06,6.82708266538157e-05,10,10,0.0236502533102936,0.004923852282539091,0.04872774783426953,10,10,0.0,0.0,0.0,10,10,0.96234,0.91863,1.0,10,10,0.037660000000000006,0.0,0.08137000000000001,10,10,0,0
actor_critic_full,0.75,4,0.01,0.02531,0.0,0.07593,10,10,0.025311234450961805,7.442778102229978e-07,0.07593121609596862,10,10,0.756525,0.75,0.769575,10,10,1.464166479626279e-05,4.127176460807652e-06,3.07012071398501e-05,10,10,0.02189391639165946,0.004802948606282789,0.05589665768480925,10,10,0.0,0.0,0.0,10,10,0.9746900000000001,0.9240700000000001,1.0,10,10,0.02531,0.0,0.07593,10,10,0,0
actor_critic_full,0.75,4,0.03,0.024460000000000003,0.00613,0.0429,10,10,0.024459367935694126,0.006135812467332914,0.04290120153682014,10,10,0.756475,0.751675,0.761475,10,10,0.00019176433401639769,1.17451980936778e-05,0.0005046916217325758,10,10,0.02138215913514719,0.008786111252727291,0.034058894560216026,10,10,0.0,0.0,0.0,10,10,0.9754799999999999,0.95708,0.9938500000000001,10,10,0.0244925,0.006144999999999999,0.0429325,10,10,0,0
actor_critic_full,0.75,4,0.1,0.05614,0.01805,0.10690999999999999,10,10,0.05613664220206701,0.01807068004671255,0.11220682493405287,10,10,0.7646750000000001,0.754725,0.7777000000000001,10,10,6.211420116209315e-05,7.3147940181469974e-06,0.00016161703874672642,10,10,0.04841982747837592,0.015143599063543761,0.08983768584264415,10,10,0.0,0.0,0.0,10,10,0.94382,0.8929085,0.9867919999999999,10,10,0.05616,0.012740000000000001,0.10748125,10,10,0,0
actor_critic_full,0.75,4,0.3,0.49222,0.28577850000000005,0.7175807500000001,10,10,0.4920056680184722,0.3037378985033862,0.7174752988144116,10,10,0.87335,0.8276999999999999,0.9296749999999999,10,10,0.001421926517969041,0.0002273606841458786,0.003506358119458355,10,10,0.41233720815593883,0.26861194509844755,0.5954203551709402,10,10,0.3,0.0,0.6,10,10,0.50778,0.30042874999999997,0.6778007500000001,10,10,0.49222,0.30432974999999995,0.71768075,10,10,3,0
actor_critic_full,0.9,2,0.0,0.6925399999999999,0.4772762499999999,0.8920399999999999,10,10,0.6924562201438127,0.47756575446962257,0.8919459373747818,10,10,0.9696999999999999,0.9483499999999999,0.9893750000000001,10,10,0.0003745009401427524,3.1470567394080716e-05,0.001042264822490324,10,10,0.5643523210380116,0.3916791380508019,0.7499595190192527,10,10,0.4,0.1,0.7,10,10,0.30738,0.10803,0.5150737499999999,10,10,0.69246,0.4762295,0.8918099999999999,10,10,5,0
actor_critic_full,0.9,2,0.003,0.6995199999999999,0.47378925,0.92502,10,10,0.6995599673387191,0.4739524282367929,0.9250182889662067,10,10,0.97015,0.9475250000000001,0.99245,10,10,0.00010348597789970882,9.884488309523932e-06,0.0002741037470320862,10,10,0.6054244246441973,0.4115925670571972,0.7930540313875412,10,10,0.5,0.2,0.8,10,10,0.30047999999999997,0.07498,0.526571,10,10,0.6995199999999999,0.473869,0.92502,10,10,6,0
actor_critic_full,0.9,2,0.01,0.74785,0.52429,0.92548,10,10,0.7477155403896046,0.5243731292923113,0.9254742399120433,10,10,0.9753999999999999,0.9549481249999999,0.992875,10,10,0.00044325465303245436,1.5660993135497847e-05,0.0012715810278376694,10,10,0.5432668715642748,0.37717465537965994,0.7192632636487943,10,10,0.3,0.0,0.6,10,10,0.25215,0.07452,0.4752562500000001,10,10,0.74785,0.5233700000000001,0.92548,10,10,6,0
actor_critic_full,0.9,2,0.03,0.69929,0.47380999999999995,0.92502,10,10,0.6992864695324139,0.4731582510541854,0.9250130018362631,10,10,0.970125,0.9475,0.992625,10,10,1.6086707842077885e-05,9.813655031507551e-06,2.3475690998679965e-05,10,10,0.6119347695449565,0.41982324819286493,0.8014607088060439,10,10,0.6,0.3,0.9,10,10,0.30071,0.07498,0.5267200000000001,10,10,0.69929,0.47326725,0.92502,10,10,6,0
actor_critic_full,0.9,2,0.1,0.82562,0.65004,1.0,10,10,0.82560841362631,0.6500669247049473,0.9999795850107543,10,10,0.9828749999999999,0.9657499999999999,1.0,10,10,9.354024846288666e-05,1.8900253347737817e-05,0.00019085335285694787,10,10,0.6285531945867187,0.44794882566718763,0.8125581309367962,10,10,0.5,0.2,0.8,10,10,0.17438,0.0,0.34992,10,10,0.82562,0.6268600000000001,1.0,10,10,7,0
actor_critic_full,0.9,2,0.3,0.87475,0.6994999999999999,1.0,10,10,0.874744568263958,0.6994968846769074,0.999994973610545,10,10,0.9877499999999999,0.9705,1.0,10,10,1.4623870366392567e-05,6.098216104817312e-06,2.6020199617029508e-05,10,10,0.7301606106177186,0.5452832333052512,0.8934963869181405,10,10,0.6,0.3,0.9,10,10,0.12525,0.0,0.3005,10,10,0.87475,0.6995,1.0,10,10,8,1
actor_critic_full,0.9,3,0.0,0.0,0.0,0.0,10,10,2.1465275903980314e-06,2.4763267464307283e-07,5.22651384357487e-06,10,10,0.9,0.9,0.9,10,10,5.250158862395438e-05,1.20913136170131e-06,0.00014987447025715638,10,10,0.004391989498506702,0.004248973330307267,0.0045311319045754925,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0,0
actor_critic_full,0.9,3,0.003,0.07565999999999999,0.0,0.15132075000000003,10,10,0.0755764056000298,1.251473005837808e-06,0.15126588701914806,10,10,0.90755,0.9,0.915375,10,10,3.8305403955973814e-05,5.569315100046879e-06,9.844611409448589e-05,10,10,0.06117437176855815,0.004585380942380739,0.12208036470366018,10,10,0.0,0.0,0.0,10,10,0.9243399999999999,0.8486799999999999,1.0,10,10,0.07565999999999999,0.0,0.15135,10,10,0,0
actor_critic_full,0.9,3,0.01,0.07514,0.0,0.15072999999999998,10,10,0.07513084906369515,2.7911471134019412e-06,0.15030989482070883,10,10,0.907675,0.9,0.9157,10,10,6.890261221315086e-06,1.8191616771900955e-06,1.5266914134315356e-05,10,10,0.0516269443095355,0.010448134116721528,0.10718020340142496,10,10,0.0,0.0,0.0,10,10,0.92486,0.8492700000000001,1.0,10,10,0.07514,0.0,0.15072999999999998,10,10,0,0
actor_critic_full,0.9,3,0.03,0.0736,0.0,0.14722,10,10,0.07359148924035691,6.541463999743452e-07,0.1472025055736242,10,10,0.9077250000000001,0.9,0.9158,10,10,1.861646186576138e-05,4.172540244464784e-06,3.7339007863010925e-05,10,10,0.04578447287078815,0.004402521864187554,0.09486005662238729,10,10,0.0,0.0,0.0,10,10,0.9263999999999999,0.85269,1.0,10,10,0.0736,0.0,0.14722,10,10,0,0
actor_critic_full,0.9,3,0.1,0.12464,0.04958,0.19985,10,10,0.12463123401049858,0.04957656253705833,0.1995616558698848,10,10,0.912325,0.9046750000000001,0.9200000000000002,10,10,1.2786974735945478e-05,6.32766540462626e-06,2.0016970628233827e-05,10,10,0.09819482070022897,0.040005885479401336,0.1583952897154946,10,10,0.0,0.0,0.0,10,10,0.8753599999999999,0.8002699999999999,0.95045,10,10,0.12464,0.04958,0.19961,10,10,0,0
actor_critic_full,0.9,3,0.3,0.05077,0.0,0.12644000000000002,10,10,0.05077042647111092,5.172542969779451e-07,0.12546987516658267,10,10,0.9052750000000002,0.9,0.9129250000000001,10,10,1.407833824700333e-05,2.6005598058098655e-06,3.0425400849480864e-05,10,10,0.04097009004232295,0.004496023487871084,0.09350559504517376,10,10,0.0,0.0,0.0,10,10,0.94923,0.87356,1.0,10,10,0.05077,0.0,0.12644,10,10,0,0
actor_critic_full,0.9,4,0.0,0.0,0.0,0.0,10,10,1.1817865686418606e-06,4.962712390229219e-07,1.913829113131263e-06,10,10,0.9,0.9,0.9,10,10,9.72463075825658e-06,3.439508173226358e-06,1.7428783590229812e-05,10,10,0.004596388491412597,0.004325882495100009,0.004999966836482252,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0,0
