run_id,seed,rule,q,width,depth,parameters,proxy_decoder_accuracy,exact_decoder_accuracy,decoder_advantage,rho_y,rho_p,iid_accuracy,single_channel_bayes,proxy_flip_rate,rule_flip_rate,proxy_probability_ate,rule_probability_ate,exact_acquisition_step,exact_acquisition_observed,exact_restricted_acquisition_step,competition_acquisition_step,competition_acquisition_observed,competition_restricted_acquisition_step
2b35dda2c7275563b5a7,71,majority,0.75,8,1,145,1.0,1.0,0.0,1.0,0.0,1.0,0.6947,0.0,1.0,2.8755448081876634e-05,-0.9999353031201387,64,1,64,91,1,91
2bbf69c8e418c870c871,97,conjunction,0.75,64,2,5313,1.0,1.0,0.0,1.0,0.0,1.0,0.7657,0.0,1.0,1.6830402388533062e-06,-0.9999953477449693,2,1,2,23,1,23
2bc2fa82ba26cdf1a07f,101,majority,0.75,8,2,217,1.0,1.0,0.0,1.0,0.0,1.0,0.6922,0.0,1.0,3.40458598044564e-06,-0.9999919370376731,45,1,45,91,1,91
2c9a9e34d84ee831eb03,37,parity,0.99,128,1,2305,1.0,1.0,0.0,0.055,0.945,0.9895,0.5048,0.9442,0.055,0.9149845295025525,-0.07918474229569278,32,1,32,,0,4096
2cc14275c482d796cd93,67,multiplexer,0.75,32,2,1633,1.0,1.0,0.0,1.0,0.0,1.0,0.6249,0.0,1.0,4.472693915484416e-06,-0.9999913782408526,64,1,64,128,1,128
2d18a9188f6c053bdd1a,11,multiplexer,0.9,64,2,5313,1.0,1.0,0.0,1.0,0.0,1.0,0.6249,0.0,1.0,2.0134316598099666e-05,-0.9999776908943889,45,1,45,181,1,181
2d2cc95aa7bc984ae7a9,23,majority,0.75,8,1,145,1.0,1.0,0.0,1.0,0.0,1.0,0.6909,0.0,1.0,4.869350063769804e-05,-0.9998911549145356,64,1,64,128,1,128
2d624737a916ed856265,41,multiplexer,0.99,16,2,561,1.0,1.0,0.0,0.9473,0.0527,0.9995,0.631,0.0527,0.9473,0.06864057396822575,-0.9313447695135277,91,1,91,2896,1,2896
2d6d20d2fbf3d56fcab1,83,parity,0.9,128,1,2305,1.0,1.0,0.0,1.0,0.0,1.0,0.5086,0.0,1.0,0.0006955791415430737,-0.9991531773394711,45,1,45,1024,1,1024
2d8406ea4fbaff4070f4,97,majority,0.99,128,1,2305,1.0,1.0,0.0,1.0,0.0,1.0,0.6936,0.0,1.0,0.0005018434192055014,-0.9994929531586786,11,1,11,362,1,362
