mode,k,total,trainable,decoder,behavior,crossed
full,4,13569,13569,1.0,1.0,True
head_only,1,51713,129,1.0,1.0,True
full,1,137,137,1.0,1.0,True
head_only,1,2177,129,1.0,1.0,True
subspace,3,51713,1,0.5,0.4706,False
full,1,3713,3713,1.0,1.0,True
full,5,51713,51713,1.0,1.0,True
head_only,3,2177,129,1.0,0.0,True
head_only,2,209,9,0.7485,0.1695,False
head_only,5,273,17,0.5355,0.0004,False
head_only,5,5249,65,0.562,0.0,False
head_only,1,1089,17,1.0,0.8278,True
subspace,4,51713,4,0.4955,0.3835,False
full,4,18689,18689,1.0,1.0,True
full,5,353,353,1.0,0.7481,True
head_only,5,273,17,0.53325,0.0017,False
head_only,2,545,33,1.0,0.0,True
full,5,51713,51713,1.0,1.0,True
full,1,545,545,1.0,1.0,True
full,4,545,545,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
head_only,2,2177,129,1.0,0.6417,True
full,1,2177,2177,1.0,1.0,True
full,4,1089,1089,1.0,1.0,True
full,1,545,545,1.0,1.0,True
head_only,2,353,9,0.74475,0.2641,False
full,2,13569,13569,1.0,1.0,True
full,1,2177,2177,1.0,1.0,True
full,4,353,353,1.0,1.0,True
head_only,2,137,9,1.0,0.2348,True
head_only,5,1601,33,0.75575,0.0091,False
head_only,3,209,9,0.61575,0.231,False
full,5,51713,51713,1.0,1.0,True
head_only,2,273,17,1.0,0.1079,True
full,1,1089,1089,1.0,1.0,True
head_only,2,1601,33,1.0,0.2949,True
full,3,2177,2177,1.0,1.0,True
full,2,5249,5249,1.0,1.0,True
full,1,209,209,1.0,1.0,True
head_only,1,18689,129,1.0,1.0,True
head_only,4,1601,33,0.4875,0.0,False
full,1,273,273,1.0,1.0,True
head_only,2,1089,17,1.0,0.077,True
full,2,18689,18689,1.0,1.0,True
full,2,209,209,1.0,1.0,True
head_only,4,209,9,0.5035,0.2641,False
head_only,4,13569,65,0.6665,0.2525,False
head_only,2,1601,33,1.0,0.0933,True
head_only,1,51713,129,1.0,0.6433,True
head_only,1,545,33,1.0,1.0,True
head_only,2,545,33,1.0,0.0754,True
full,5,545,545,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
head_only,5,18689,129,0.467,0.0,False
full,1,545,545,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
full,2,209,209,1.0,1.0,True
head_only,2,545,17,1.0,0.0121,True
head_only,3,13569,65,0.86675,0.1106,False
full,4,273,273,1.0,1.0,True
full,2,2177,2177,1.0,1.0,True
full,3,273,273,1.0,1.0,True
full,2,545,545,1.0,1.0,True
full,2,51713,51713,1.0,1.0,True
subspace,4,51713,256,1.0,0.0,True
head_only,2,209,9,1.0,0.2064,True
head_only,4,1089,65,0.5075,0.0,False
head_only,5,273,17,0.53175,0.0827,False
full,4,137,137,1.0,1.0,True
head_only,1,18689,129,1.0,1.0,True
head_only,5,1089,65,0.5685,0.0,False
head_only,2,3713,33,0.7625,0.0113,False
full,5,545,545,1.0,1.0,True
full,3,18689,18689,1.0,1.0,True
full,4,13569,13569,1.0,1.0,True
head_only,5,51713,129,0.44175,0.0,False
full,3,5249,5249,1.0,1.0,True
head_only,3,3713,33,0.75075,0.2472,False
full,2,1601,1601,1.0,1.0,True
full,4,5249,5249,1.0,1.0,True
head_only,3,18689,129,1.0,0.0036,True
full,3,1089,1089,1.0,1.0,True
full,3,51713,51713,1.0,1.0,True
full,5,51713,51713,1.0,1.0,True
head_only,5,1089,65,0.5605,0.0,False
head_only,4,1601,33,0.56675,0.0311,False
full,4,1089,1089,1.0,1.0,True
head_only,4,353,9,0.69225,0.2396,False
head_only,4,3713,33,0.49575,0.0031,False
full,1,13569,13569,1.0,1.0,True
full,3,1601,1601,1.0,1.0,True
full,1,13569,13569,1.0,1.0,True
head_only,2,13569,65,1.0,0.0602,True
head_only,3,2177,129,1.0,0.0,True
head_only,3,209,9,0.50275,0.1841,False
full,5,545,545,1.0,1.0,True
head_only,5,2177,129,0.429,0.0,False
head_only,3,209,9,0.5055,0.1248,False
head_only,2,3713,33,1.0,0.0,True
full,1,3713,3713,1.0,1.0,True
head_only,4,13569,65,1.0,0.0,True
full,4,2177,2177,1.0,1.0,True
full,4,273,273,1.0,1.0,True
head_only,1,2177,129,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
full,2,51713,51713,1.0,1.0,True
head_only,5,1089,65,0.562,0.0,False
full,2,1089,1089,1.0,1.0,True
full,4,209,209,1.0,1.0,True
full,2,209,209,1.0,1.0,True
full,4,2177,2177,1.0,1.0,True
head_only,4,545,17,0.57275,0.1494,False
head_only,1,3713,33,1.0,1.0,True
full,2,18689,18689,1.0,1.0,True
full,2,51713,51713,1.0,1.0,True
head_only,1,137,9,1.0,0.9294,True
full,5,51713,51713,1.0,1.0,True
head_only,1,13569,65,1.0,0.6049,True
head_only,5,18689,129,0.59475,0.0,False
full,4,5249,5249,1.0,1.0,True
full,2,3713,3713,1.0,1.0,True
full,3,137,137,1.0,1.0,True
full,2,353,353,1.0,1.0,True
head_only,4,18689,129,0.634,0.0,False
full,1,1089,1089,1.0,1.0,True
full,1,1089,1089,1.0,1.0,True
full,3,1089,1089,1.0,1.0,True
head_only,5,13569,65,0.494,0.0,False
full,5,1089,1089,1.0,1.0,True
full,3,13569,13569,1.0,1.0,True
full,1,545,545,1.0,1.0,True
head_only,4,1601,33,0.50275,0.0,False
head_only,4,273,17,0.45175,0.0013,False
head_only,1,51713,129,1.0,0.7287,True
head_only,3,137,9,0.62675,0.0895,False
full,4,353,353,1.0,1.0,True
head_only,2,1089,17,0.74825,0.2887,False
full,4,13569,13569,1.0,1.0,True
head_only,4,1089,65,1.0,0.0001,True
full,5,353,353,1.0,1.0,True
head_only,4,3713,33,0.43775,0.0073,False
full,1,1089,1089,1.0,1.0,True
head_only,4,18689,129,0.6205,0.0,False
head_only,5,13569,65,0.5615,0.0,False
full,3,1089,1089,1.0,1.0,True
full,2,1601,1601,1.0,1.0,True
head_only,3,1601,33,0.7535,0.0342,False
full,5,1089,1089,1.0,1.0,True
full,4,13569,13569,1.0,1.0,True
head_only,5,353,9,0.49825,0.3753,False
head_only,3,545,17,0.50325,0.0766,False
head_only,3,51713,129,1.0,0.0,True
head_only,1,137,9,1.0,0.8729,True
full,4,209,209,1.0,1.0,True
head_only,2,353,9,1.0,0.272,True
full,3,353,353,1.0,1.0,True
subspace,3,51713,1,0.61775,0.5251,False
head_only,1,1089,17,1.0,0.496,True
full,5,1601,1601,1.0,1.0,True
full,3,18689,18689,1.0,1.0,True
head_only,4,51713,129,0.50775,0.0,False
full,5,273,273,1.0,0.9922,True
full,3,545,545,1.0,1.0,True
head_only,4,18689,129,0.69075,0.0,False
head_only,1,5249,65,1.0,0.8349,True
head_only,1,273,17,1.0,0.6615,True
head_only,5,2177,129,1.0,0.0,True
full,3,137,137,1.0,1.0,True
head_only,2,545,17,1.0,0.0103,True
head_only,3,1089,17,0.5,0.3548,False
full,1,545,545,1.0,1.0,True
full,3,1601,1601,1.0,1.0,True
full,4,2177,2177,1.0,1.0,True
full,1,273,273,1.0,1.0,True
head_only,2,13569,65,1.0,0.0,True
head_only,2,209,9,0.5045,0.1168,False
head_only,1,1089,17,1.0,0.7352,True
head_only,1,2177,129,1.0,1.0,True
full,4,209,209,1.0,1.0,True
full,2,209,209,1.0,1.0,True
head_only,1,5249,65,1.0,1.0,True
head_only,5,137,9,0.46625,0.1733,False
full,1,1089,1089,1.0,1.0,True
full,1,3713,3713,1.0,1.0,True
subspace,3,51713,16,0.62425,0.1301,False
full,4,209,209,1.0,1.0,True
head_only,4,3713,33,0.4935,0.0479,False
head_only,4,1089,65,1.0,0.0,True
head_only,5,51713,129,0.5605,0.0,False
full,3,13569,13569,1.0,1.0,True
head_only,3,1601,33,1.0,0.0,True
full,1,1089,1089,1.0,1.0,True
head_only,1,137,9,1.0,0.7293,True
head_only,1,209,9,1.0,0.6528,True
head_only,2,209,9,0.50025,0.2166,False
head_only,1,545,17,1.0,0.6042,True
subspace,2,51713,256,1.0,0.9874,True
head_only,1,18689,129,1.0,1.0,True
full,4,3713,3713,1.0,1.0,True
